Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/jlenardtrinity/signage/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/jlenardtrinity/signage/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/jlenardtrinity/signage/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/jlenardtrinity/signage/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
