Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Fluvax,https://raw.githubusercontent.com/jlenardtrinity/signage/main/promo/fluvax.jpg,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Fluvax2,https://raw.githubusercontent.com/jlenardtrinity/signage/main/promo/fluvax.jpg,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Fluvax3,https://raw.githubusercontent.com/jlenardtrinity/signage/main/promo/fluvax.jpg,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Fluvax4,https://raw.githubusercontent.com/jlenardtrinity/signage/main/promo/fluvax.jpg,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
